GM_P,Team,QB_Avg,RB_Avg,WR_Avg,TE_Avg,Total Avg,QB_Rk,RB_Rk,WR_Rk,TE_Rk,Total_Rk
15,ARI,16.02,26.95,29.59,15.64,88.19,15,31,14,25,22
15,ATL,16.19,22.31,33.79,9.02,81.31,16,17,21,3,14
15,BAL,16.89,23.47,35.22,11.63,87.21,19,22,25,8,20
15,BUF,13.64,26.07,27.71,7.84,75.25,5,29,8,1,6
15,CAR,14.37,24.01,28.48,13.16,80.02,8,25,10,17,13
15,CHI,17.07,20.07,35.40,13.39,85.94,21,11,27,19,18
15,CIN,19.44,30.74,26.32,21.99,98.49,28,32,4,32,31
15,CLE,13.18,22.39,26.22,12.41,74.19,4,18,3,13,5
15,DAL,24.49,24.76,40.77,12.81,102.83,32,26,32,15,32
15,DEN,15.02,17.61,28.64,14.32,75.59,10,1,12,21,8
15,DET,19.31,19.99,37.75,13.24,90.29,27,9,31,18,26
15,GB,15.51,19.47,32.43,12.25,79.67,11,7,18,12,12
15,HOU,12.01,20.41,24.93,12.07,69.42,1,12,2,10,2
15,IND,16.28,20.74,36.85,15.85,89.72,17,14,30,28,25
15,JAX,16.92,18.68,33.66,14.91,84.17,20,2,20,24,16
15,KC,15.53,19.45,29.30,11.26,75.55,12,6,13,7,7
15,LAC,12.50,19.37,27.03,11.02,69.92,3,5,5,5,3
15,LAR,15.54,19.33,35.24,12.72,82.82,13,4,26,14,15
15,LV,16.41,23.91,34.79,10.51,85.63,18,24,23,4,17
15,MIA,18.31,23.91,28.07,17.51,87.79,23,23,9,31,21
15,MIN,12.22,20.57,24.00,11.91,68.69,2,13,1,9,1
15,NE,15.83,19.24,29.86,14.69,79.62,14,3,16,23,11
15,NO,14.12,22.03,27.33,12.19,75.67,7,15,7,11,9
15,NYG,19.77,26.93,35.50,11.10,93.30,29,30,28,6,29
15,NYJ,18.45,26.00,29.85,14.04,88.34,24,28,15,20,23
15,PHI,13.87,23.31,27.12,8.15,72.45,6,20,6,2,4
15,PIT,19.31,20.06,35.53,17.11,92.01,26,10,29,30,28
15,SEA,14.89,19.65,28.52,16.00,79.06,9,8,11,29,10
15,SF,17.27,22.22,33.13,14.57,87.18,22,16,19,22,19
15,TB,19.89,23.37,31.60,15.65,90.50,31,21,17,26,27
15,TEN,18.55,22.46,34.35,13.13,88.49,25,19,22,16,24
15,WAS,19.82,25.59,34.92,15.85,96.18,30,27,24,27,30
