GM_P,Team,QB_Avg,RB_Avg,WR_Avg,TE_Avg,Total Avg,QB_Rk,RB_Rk,WR_Rk,TE_Rk,Total_Rk
8,ARI,16.79,30.33,28.44,15.19,90.74,18,31,10,24,25
8,ATL,18.12,21.48,39.76,13.10,92.46,25,14,31,15,28
8,BAL,13.79,19.99,31.49,9.56,74.83,10,8,18,4,9
8,BUF,13.54,27.16,25.91,9.75,76.36,8,26,8,5,10
7,CAR,12.53,26.90,31.24,10.94,81.62,6,25,16,8,14
8,CHI,16.20,17.39,37.49,12.00,83.07,15,4,29,12,16
7,CIN,19.92,27.49,21.57,22.30,91.28,28,27,3,32,27
7,CLE,11.45,30.33,18.79,11.81,72.38,5,32,1,11,6
7,DAL,23.99,20.64,39.94,12.96,97.53,31,9,32,13,31
7,DEN,16.31,15.56,31.60,18.07,81.54,17,1,20,29,13
8,DET,20.63,22.83,39.13,13.26,95.85,29,20,30,16,29
8,GB,14.02,21.88,31.05,7.29,74.24,11,18,15,1,8
8,HOU,13.32,21.70,23.60,13.49,72.11,7,16,5,18,5
7,IND,15.79,23.66,34.16,14.84,88.45,13,23,26,22,20
8,JAX,14.88,18.34,31.26,15.61,80.09,12,5,17,25,11
7,KC,17.13,21.01,31.73,14.64,84.51,19,10,21,20,17
7,LAC,10.07,16.56,26.21,11.59,64.43,2,3,9,10,3
8,LAR,16.22,22.33,36.70,13.28,88.52,16,19,28,17,21
8,LV,15.97,25.41,31.00,10.15,82.53,14,24,14,6,15
7,MIA,17.85,21.19,30.61,20.79,90.43,22,12,13,31,24
8,MIN,8.71,21.06,20.81,10.44,61.02,1,11,2,7,1
7,NE,17.26,21.24,29.46,12.96,80.91,20,13,12,14,12
7,NO,11.11,21.51,24.43,11.33,68.38,4,15,6,9,4
7,NYG,18.11,29.64,32.46,8.46,88.67,24,30,23,3,22
7,NYJ,18.03,29.44,29.44,14.12,91.03,23,28,11,19,26
7,PHI,10.47,23.56,21.83,8.30,64.16,3,22,4,2,2
8,PIT,17.60,19.99,32.51,15.00,85.10,21,7,24,23,18
8,SEA,13.55,18.45,25.71,16.08,73.79,9,6,7,26,7
7,SF,18.13,21.71,32.34,17.56,89.75,26,17,22,28,23
7,TB,24.17,23.27,31.59,18.20,97.22,32,21,19,30,30
7,TEN,21.33,15.79,33.47,14.74,85.33,30,2,25,21,19
7,WAS,19.56,29.60,34.79,16.70,100.65,27,29,27,27,32
