GM_P,Team,QB_Avg,RB_Avg,WR_Avg,TE_Avg,Total Avg,QB_Rk,RB_Rk,WR_Rk,TE_Rk,Total_Rk
14,ARI,15.91,26.15,30.98,15.33,88.37,15,29,16,25,24
14,ATL,16.59,23.00,34.81,8.04,82.43,18,20,24,2,15
14,BAL,16.41,23.71,33.91,10.97,85.01,16,22,21,6,18
14,BUF,13.81,26.13,28.68,7.01,75.63,6,28,13,1,9
14,CAR,14.49,24.19,28.26,13.85,80.79,8,24,11,18,14
14,CHI,17.08,20.55,35.45,13.86,86.94,21,13,26,19,21
14,CIN,20.34,30.64,26.08,22.66,99.71,30,32,5,32,31
14,CLE,13.63,21.17,27.26,12.82,74.87,4,15,6,15,8
14,DAL,24.08,25.17,39.71,13.19,102.16,32,26,32,16,32
14,DEN,13.86,17.61,27.76,14.17,73.41,7,1,9,21,4
14,DET,19.58,17.64,38.63,13.23,89.08,27,2,31,17,25
14,GB,15.12,19.34,32.09,12.46,79.01,11,8,18,12,11
14,HOU,11.87,19.46,25.39,11.76,68.47,1,9,3,9,1
14,IND,15.26,19.75,36.81,15.11,86.93,13,10,30,23,20
14,JAX,17.04,18.09,32.62,15.34,83.09,20,4,20,26,16
14,KC,15.36,18.57,29.52,10.69,74.13,14,5,14,5,6
14,LAC,12.09,19.96,25.27,11.46,68.78,2,12,2,7,2
14,LAR,15.25,17.65,34.93,12.41,80.25,12,3,25,11,12
14,LV,16.76,24.33,35.80,10.04,86.93,19,25,27,4,19
14,MIA,17.53,22.35,27.40,17.33,84.61,23,17,7,30,17
14,MIN,13.09,20.94,25.21,12.76,72.00,3,14,1,14,3
14,NE,16.42,18.74,29.90,15.23,80.28,17,6,15,24,13
14,NO,14.86,22.30,28.07,12.21,77.45,10,16,10,10,10
14,NYG,20.46,27.72,36.56,11.53,96.27,31,31,29,8,30
14,NYJ,18.54,27.36,28.50,12.54,86.94,24,30,12,13,22
14,PHI,14.62,23.01,27.64,8.62,73.89,9,21,8,3,5
14,PIT,18.80,19.76,34.30,17.41,90.27,25,11,22,31,26
14,SEA,13.75,19.29,25.98,15.59,74.61,5,7,4,27,7
14,SF,17.28,22.58,32.38,14.77,87.01,22,18,19,22,23
14,TB,20.05,24.13,31.59,15.64,91.41,29,23,17,28,27
14,TEN,19.40,22.99,35.84,13.95,92.18,26,19,28,20,28
14,WAS,19.87,25.26,34.63,16.11,95.87,28,27,23,29,29
