GM_P,Team,QB_Avg,RB_Avg,WR_Avg,TE_Avg,Total Avg,QB_Rk,RB_Rk,WR_Rk,TE_Rk,Total_Rk
7,ARI,16.68,29.21,31.06,14.50,91.45,20,29,19,22,24
7,ATL,19.19,22.73,42.66,11.71,96.29,25,21,32,9,30
7,BAL,12.38,19.99,28.34,7.94,68.65,7,12,11,2,5
7,BUF,13.87,27.44,27.60,8.36,77.27,13,26,10,3,10
6,CAR,12.51,27.82,31.18,12.18,83.69,8,27,20,11,18
7,CHI,16.08,17.96,37.89,12.74,84.67,17,7,30,15,20
6,CIN,22.09,26.72,20.21,23.92,92.94,29,25,2,32,25
6,CLE,12.21,28.82,19.97,12.68,73.68,5,28,1,12,9
6,DAL,22.95,20.92,37.35,13.87,95.09,30,15,29,19,29
6,DEN,13.84,15.22,30.03,18.35,77.44,12,1,16,28,12
7,DET,21.36,18.53,41.09,13.24,94.22,28,8,31,18,27
7,GB,13.03,21.96,30.16,6.99,72.13,9,18,17,1,8
7,HOU,13.22,19.99,24.31,13.09,70.60,10,13,7,17,6
6,IND,13.32,21.83,33.62,12.95,81.72,11,16,24,16,14
7,JAX,14.83,17.10,28.84,16.56,77.33,14,3,12,25,11
6,KC,16.98,19.22,32.65,13.87,82.71,21,9,23,20,16
6,LAC,8.70,17.48,21.98,12.70,60.87,1,5,4,13,1
7,LAR,15.75,19.40,36.29,12.74,84.18,15,11,27,14,19
7,LV,16.61,26.46,32.47,9.14,84.68,19,24,22,5,21
6,MIA,15.97,17.10,29.48,20.90,83.45,16,4,13,31,17
7,MIN,9.95,21.87,22.79,11.93,66.54,2,17,6,10,4
6,NE,18.88,20.40,29.48,13.92,82.68,24,14,14,21,15
6,NO,12.34,22.05,25.68,11.25,71.32,6,19,8,8,7
6,NYG,19.45,31.93,34.42,9.02,94.81,26,31,26,4,28
6,NYJ,18.18,33.20,26.23,10.62,88.23,22,32,9,7,22
6,PHI,11.65,22.88,22.17,9.43,66.13,4,22,5,6,3
7,PIT,16.33,19.39,29.61,15.29,80.61,18,10,15,24,13
7,SEA,11.07,17.57,20.23,15.26,64.13,3,6,3,23,2
6,SF,18.31,22.47,30.47,18.53,89.77,23,20,18,29,23
6,TB,25.25,25.03,31.57,18.60,100.45,32,23,21,30,31
6,TEN,23.79,15.90,36.80,16.93,93.42,31,2,28,26,26
6,WAS,19.62,29.50,34.08,17.45,100.66,27,30,25,27,32
